#https://www.wikidata.org/wiki/Wikidata:List_of_properties/Geographical_feature
P30	continent
P17	country
P131	located in the administrative territorial entity
P669	located on street
P36	capital
P35	head of state
P150	contains administrative territorial entity
P131	located in the administrative territorial entity
P1001	applies to jurisdiction
P6	head of government
P1336	territory claimed by
P47	shares border with
P500	exclave of
P501	enclave within
P190	sister city
P84	architect
P1382	coincident with
P61	discoverer or inventor
