#https://www.wikidata.org/wiki/Wikidata:List_of_properties/Person
P19	place of birth
P20	place of death
P157	killed by
P119	place of burial
P66	ancestral home
P463	member of
P172	ethnic group
P27	country of citizenship
P69	educated at
P108	employer
P102	member of political party
P263	official residence
P185	doctoral student
P1066	student of
P802	student
P1037	manager/director
P1344	participant of
P1416	affiliation
P22	father
P25	mother
P7	brother
P9	sister
P26	spouse
P451	partner
P40	child
P43	stepfather
P44	stepmother
P1038	relative
P1290	godparent
P366	use
